"_id","pk_teuna_fikt","sug_tik","THUM_GEOGRAFI","SUG_DEREH","SEMEL_YISHUV","REHOV1","REHOV2","BAYIT","ZOMET_IRONI","KVISH1","KVISH2","KM","ZOMET_LO_IRONI","YEHIDA","SHNAT_TEUNA","HODESH_TEUNA","SHAA","SUG_YOM","YOM_LAYLA","YOM_BASHAVUA","HUMRAT_TEUNA","SUG_TEUNA","HAD_MASLUL","RAV_MASLUL","MEHIRUT_MUTERET","TKINUT","ROHAV","SIMUN_TIMRUR","TEURA","MEZEG_AVIR","PNE_KVISH","SUG_EZEM","MERHAK_EZEM","LO_HAZA","OFEN_HAZIYA","MEKOM_HAZIYA","KIVUN_HAZIYA","MAHOZ","NAFA","EZOR_TIVI","MAAMAD_MINIZIPALI","ZURAT_ISHUV","STATUS_IGUN","X","Y"
"29","2021000150","1","1","2","3000","4359",,"9999",,,,,,"61","2021","8","60","4","1","2","3","1","3","0","1","1","2","3","1","1","1","9","9","9","1","3","2","1","11","111","0","12","3","223393","633462"
"30","2021000154","1","1","4","0",,,,,"806","0","77",,"12","2021","9","45","2","1","2","3","2","2","0","1","1","3","3","1","1","1","9","9","9","0","0","9","2","22","222","99","99","1","238369","754072"
"31","2021000156","1","1","1","6100","203","111",,"7750011",,,,,"20","2021","8","51","4","1","3","3","2","3","0","1","0","3","3","1","1","1","9","9","9","0","0","9","5","51","512","0","13","1","183896","667095"
"32","2021000159","1","1","2","5000","2792",,"51",,,,,,"20","2021","2","57","2","1","5","3","1","0","3","1","1","0","3","1","1","1","9","9","9","4","2","9","5","51","511","0","13","1","180280","662020"
"33","2021000160","1","1","4","0",,,,,"781","0","136",,"12","2021","7","59","4","1","4","3","2","2","0","2","1","2","3","1","1","1","9","9","9","0","0","9","2","24","241","99","99","1","217682","748562"
"34","2021000164","1","1","2","7700","364",,"9999",,,,,,"14","2021","9","5","4","5","3","2","7","0","3","1","1","3","3","3","1","1","9","9","9","0","0","9","2","23","234","0","15","3","228589","724237"
"35","2021000173","1","1","4","0",,,,,"57","0","140",,"51","2021","6","46","4","1","3","3","2","3","0","3","1","3","3","1","1","1","9","9","9","0","0","9","4","41","412","99","99","1","201289","691082"
"36","2021000177","1","1","1","7700","280","281",,"7490002",,,,,"14","2021","5","93","4","5","5","3","2","0","3","3","1","4","3","3","1","1","9","9","9","0","0","9","2","23","234","0","15","1","230465","725777"
"37","2021000181","1","1","2","5000","2604",,"52",,,,,,"20","2021","6","75","4","1","7","3","1","0","2","1","1","3","3","1","1","1","9","9","9","4","3","9","5","51","511","0","13","1","181508","663942"
"38","2021000187","1","1","2","831","138",,"9999",,,,,,"34","2021","1","85","4","5","7","2","1","9","0","0","0","0","5","6","9","9","9","9","9","0","0","9","6","62","626","99","17","3","193469","543966"
